Order Id,Budget,Cities Name,,Date Of Birth,Description
7159,2000,Savannah,,8/3/1988,Bakeries + Desserts
7159,2000,Savannah,,8/3/1988,Bookstores
7159,2000,Savannah,,8/3/1988,Cafes + Coffee Shops
7159,2000,Savannah,,8/3/1988,Fine Dining
7159,2000,Savannah,,8/3/1988,Hole-In-The-Wall Restaurants
7159,2000,Savannah,,8/3/1988,Spas
7159,2000,Savannah,,8/3/1989,Bakeries + Desserts
7159,2000,Savannah,,8/3/1989,Bookstores
7159,2000,Savannah,,8/3/1989,Cafes + Coffee Shops
7159,2000,Savannah,,8/3/1989,Fine Dining
7159,2000,Savannah,,8/3/1989,Hole-In-The-Wall Restaurants
7159,2000,Savannah,,8/3/1989,Spas
7290,4000,Minneapolis,,7/15/1977,Bakeries + Desserts
7290,4000,Minneapolis,,7/15/1977,Bookstores
7290,4000,Minneapolis,,7/15/1977,Cafes + Coffee Shops
7290,4000,Minneapolis,,7/15/1977,Cocktails
7290,4000,Minneapolis,,7/15/1977,Craft Beer
7290,4000,Minneapolis,,7/15/1977,Food Markets
7290,4000,Minneapolis,,7/15/1977,Historic Sites
7290,4000,Minneapolis,,7/15/1977,History Museums
7290,4000,Minneapolis,,7/15/1977,Hole-In-The-Wall Restaurants
7290,4000,Minneapolis,,7/15/1977,Parks + Gardens
7290,4000,Minneapolis,,7/4/1978,Bakeries + Desserts
7290,4000,Minneapolis,,7/4/1978,Bookstores
7290,4000,Minneapolis,,7/4/1978,Cafes + Coffee Shops
7290,4000,Minneapolis,,7/4/1978,Cocktails
7290,4000,Minneapolis,,7/4/1978,Craft Beer
7290,4000,Minneapolis,,7/4/1978,Food Markets
7290,4000,Minneapolis,,7/4/1978,Historic Sites
7290,4000,Minneapolis,,7/4/1978,History Museums
7290,4000,Minneapolis,,7/4/1978,Hole-In-The-Wall Restaurants
7290,4000,Minneapolis,,7/4/1978,Parks + Gardens
7290,4000,Minneapolis,,5/8/1979,Bakeries + Desserts
7290,4000,Minneapolis,,5/8/1979,Bookstores
7290,4000,Minneapolis,,5/8/1979,Cafes + Coffee Shops
7290,4000,Minneapolis,,5/8/1979,Cocktails
7290,4000,Minneapolis,,5/8/1979,Craft Beer
7290,4000,Minneapolis,,5/8/1979,Food Markets
7290,4000,Minneapolis,,5/8/1979,Historic Sites
7290,4000,Minneapolis,,5/8/1979,History Museums
7290,4000,Minneapolis,,5/8/1979,Hole-In-The-Wall Restaurants
7290,4000,Minneapolis,,5/8/1979,Parks + Gardens
7290,4000,Minneapolis,,7/2/1979,Bakeries + Desserts
7290,4000,Minneapolis,,7/2/1979,Bookstores
7290,4000,Minneapolis,,7/2/1979,Cafes + Coffee Shops
7290,4000,Minneapolis,,7/2/1979,Cocktails
7290,4000,Minneapolis,,7/2/1979,Craft Beer
7290,4000,Minneapolis,,7/2/1979,Food Markets
7290,4000,Minneapolis,,7/2/1979,Historic Sites
7290,4000,Minneapolis,,7/2/1979,History Museums
7290,4000,Minneapolis,,7/2/1979,Hole-In-The-Wall Restaurants
7290,4000,Minneapolis,,7/2/1979,Parks + Gardens
7615,1300,Burlington,,7/29/1987,Biking
7615,1300,Burlington,,7/29/1987,Bookstores
7615,1300,Burlington,,7/29/1987,Craft Beer
7615,1300,Burlington,,7/29/1987,Food Markets
7615,1300,Burlington,,7/29/1987,Hiking
7615,1300,Burlington,,7/29/1987,Hole-In-The-Wall Restaurants
7615,1300,Burlington,,7/29/1987,LGBTQIA+ Owned Businesses
7615,1300,Burlington,,7/29/1987,Live Music
7615,1300,Burlington,,7/29/1987,Parks + Gardens
7615,1300,Burlington,,7/29/1987,Wine
7615,1300,Burlington,,5/31/1988,Biking
7615,1300,Burlington,,5/31/1988,Bookstores
7615,1300,Burlington,,5/31/1988,Craft Beer
7615,1300,Burlington,,5/31/1988,Food Markets
7615,1300,Burlington,,5/31/1988,Hiking
7615,1300,Burlington,,5/31/1988,Hole-In-The-Wall Restaurants
7615,1300,Burlington,,5/31/1988,LGBTQIA+ Owned Businesses
7615,1300,Burlington,,5/31/1988,Live Music
7615,1300,Burlington,,5/31/1988,Parks + Gardens
7615,1300,Burlington,,5/31/1988,Wine
7620,2000,Chicago,,7/2/1983,Antiques/Flea Markets
7620,2000,Chicago,,7/2/1983,Craft Beer
7620,2000,Chicago,,7/2/1983,Fine Dining
7620,2000,Chicago,,7/2/1983,Hole-In-The-Wall Restaurants
7620,2000,Chicago,,7/2/1983,Live Music
7620,2000,Chicago,,7/2/1983,Local Boutiques
7620,2000,Chicago,,7/2/1983,Spas
7620,2000,Chicago,,7/2/1983,Thrift Stores
7620,2000,Chicago,,7/2/1983,Wine
7620,2000,Chicago,,11/6/1983,Antiques/Flea Markets
7620,2000,Chicago,,11/6/1983,Craft Beer
7620,2000,Chicago,,11/6/1983,Fine Dining
7620,2000,Chicago,,11/6/1983,Hole-In-The-Wall Restaurants
7620,2000,Chicago,,11/6/1983,Live Music
7620,2000,Chicago,,11/6/1983,Local Boutiques
7620,2000,Chicago,,11/6/1983,Spas
7620,2000,Chicago,,11/6/1983,Thrift Stores
7620,2000,Chicago,,11/6/1983,Wine
7667,2000,Denver,,3/8/1990,Art Galleries
7667,2000,Denver,,3/8/1990,Art Museums
7667,2000,Denver,,3/8/1990,Biking
7667,2000,Denver,,3/8/1990,Comedy Clubs
7667,2000,Denver,,3/8/1990,Fine Dining
7667,2000,Denver,,3/8/1990,Hiking
7667,2000,Denver,,3/8/1990,Historic Sites
7667,2000,Denver,,3/8/1990,History Museums
7667,2000,Denver,,3/8/1990,Hole-In-The-Wall Restaurants
7667,2000,Denver,,3/8/1990,Live Music
7667,2000,Denver,,3/8/1990,Parks + Gardens
7667,2000,Denver,,3/8/1990,Wine
7667,2000,Denver,,4/18/1992,Art Galleries
7667,2000,Denver,,4/18/1992,Art Museums
7667,2000,Denver,,4/18/1992,Biking
7667,2000,Denver,,4/18/1992,Comedy Clubs
7667,2000,Denver,,4/18/1992,Fine Dining
7667,2000,Denver,,4/18/1992,Hiking
7667,2000,Denver,,4/18/1992,Historic Sites
7667,2000,Denver,,4/18/1992,History Museums
7667,2000,Denver,,4/18/1992,Hole-In-The-Wall Restaurants
7667,2000,Denver,,4/18/1992,Live Music
7667,2000,Denver,,4/18/1992,Parks + Gardens
7667,2000,Denver,,4/18/1992,Wine
7811,2675,Denver,,12/27/1963,Art Galleries
7811,2675,Denver,,12/27/1963,Art Museums
7811,2675,Denver,,12/27/1963,Bakeries + Desserts
7811,2675,Denver,,12/27/1963,Biking
7811,2675,Denver,,12/27/1963,Cafes + Coffee Shops
7811,2675,Denver,,12/27/1963,Cocktails
7811,2675,Denver,,12/27/1963,Comedy Clubs
7811,2675,Denver,,12/27/1963,Fine Dining
7811,2675,Denver,,12/27/1963,Hiking
7811,2675,Denver,,12/27/1963,Parks + Gardens
7811,2675,Denver,,3/11/1967,Art Galleries
7811,2675,Denver,,3/11/1967,Art Museums
7811,2675,Denver,,3/11/1967,Bakeries + Desserts
7811,2675,Denver,,3/11/1967,Biking
7811,2675,Denver,,3/11/1967,Cafes + Coffee Shops
7811,2675,Denver,,3/11/1967,Cocktails
7811,2675,Denver,,3/11/1967,Comedy Clubs
7811,2675,Denver,,3/11/1967,Fine Dining
7811,2675,Denver,,3/11/1967,Hiking
7811,2675,Denver,,3/11/1967,Parks + Gardens
7939,1700,Denver,,6/11/1993,Antiques/Flea Markets
7939,1700,Denver,,6/11/1993,Bakeries + Desserts
7939,1700,Denver,,6/11/1993,Cafes + Coffee Shops
7939,1700,Denver,,6/11/1993,Comedy Clubs
7939,1700,Denver,,6/11/1993,Craft Beer
7939,1700,Denver,,6/11/1993,Historic Sites
7939,1700,Denver,,6/11/1993,History Museums
7939,1700,Denver,,6/11/1993,Hole-In-The-Wall Restaurants
7939,1700,Denver,,6/11/1993,LGBTQIA+ Owned Businesses
7939,1700,Denver,,6/11/1993,Live Music
7939,1700,Denver,,6/11/1993,Local Boutiques
7939,1700,Denver,,6/11/1993,Musical Theater
7939,1700,Denver,,6/11/1993,Plays
7939,1700,Denver,,6/11/1993,Thrift Stores
7939,1700,Denver,,6/11/1993,Wine
7939,1700,Denver,,7/27/1993,Antiques/Flea Markets
7939,1700,Denver,,7/27/1993,Bakeries + Desserts
7939,1700,Denver,,7/27/1993,Cafes + Coffee Shops
7939,1700,Denver,,7/27/1993,Comedy Clubs
7939,1700,Denver,,7/27/1993,Craft Beer
7939,1700,Denver,,7/27/1993,Historic Sites
7939,1700,Denver,,7/27/1993,History Museums
7939,1700,Denver,,7/27/1993,Hole-In-The-Wall Restaurants
7939,1700,Denver,,7/27/1993,LGBTQIA+ Owned Businesses
7939,1700,Denver,,7/27/1993,Live Music
7939,1700,Denver,,7/27/1993,Local Boutiques
7939,1700,Denver,,7/27/1993,Musical Theater
7939,1700,Denver,,7/27/1993,Plays
7939,1700,Denver,,7/27/1993,Thrift Stores
7939,1700,Denver,,7/27/1993,Wine
7961,2550,Chicago,,8/26/1959,Antiques/Flea Markets
7961,2550,Chicago,,8/26/1959,Art Galleries
7961,2550,Chicago,,8/26/1959,Art Museums
7961,2550,Chicago,,8/26/1959,Bakeries + Desserts
7961,2550,Chicago,,8/26/1959,Cafes + Coffee Shops
7961,2550,Chicago,,8/26/1959,Comedy Clubs
7961,2550,Chicago,,8/26/1959,Craft Beer
7961,2550,Chicago,,8/26/1959,Fine Dining
7961,2550,Chicago,,8/26/1959,Food Markets
7961,2550,Chicago,,8/26/1959,Historic Sites
7961,2550,Chicago,,8/26/1959,History Museums
7961,2550,Chicago,,8/26/1959,Live Music
7961,2550,Chicago,,8/26/1959,Local Boutiques
7961,2550,Chicago,,8/26/1959,Musical Theater
7961,2550,Chicago,,8/26/1959,Plays
7961,2550,Chicago,,8/26/1959,Thrift Stores
7961,2550,Chicago,,8/26/1959,Wine
7961,2550,Chicago,,12/27/1988,Antiques/Flea Markets
7961,2550,Chicago,,12/27/1988,Art Galleries
7961,2550,Chicago,,12/27/1988,Art Museums
7961,2550,Chicago,,12/27/1988,Bakeries + Desserts
7961,2550,Chicago,,12/27/1988,Cafes + Coffee Shops
7961,2550,Chicago,,12/27/1988,Comedy Clubs
7961,2550,Chicago,,12/27/1988,Craft Beer
7961,2550,Chicago,,12/27/1988,Fine Dining
7961,2550,Chicago,,12/27/1988,Food Markets
7961,2550,Chicago,,12/27/1988,Historic Sites
7961,2550,Chicago,,12/27/1988,History Museums
7961,2550,Chicago,,12/27/1988,Live Music
7961,2550,Chicago,,12/27/1988,Local Boutiques
7961,2550,Chicago,,12/27/1988,Musical Theater
7961,2550,Chicago,,12/27/1988,Plays
7961,2550,Chicago,,12/27/1988,Thrift Stores
7961,2550,Chicago,,12/27/1988,Wine
7961,2550,Chicago,,2/23/1992,Antiques/Flea Markets
7961,2550,Chicago,,2/23/1992,Art Galleries
7961,2550,Chicago,,2/23/1992,Art Museums
7961,2550,Chicago,,2/23/1992,Bakeries + Desserts
7961,2550,Chicago,,2/23/1992,Cafes + Coffee Shops
7961,2550,Chicago,,2/23/1992,Comedy Clubs
7961,2550,Chicago,,2/23/1992,Craft Beer
7961,2550,Chicago,,2/23/1992,Fine Dining
7961,2550,Chicago,,2/23/1992,Food Markets
7961,2550,Chicago,,2/23/1992,Historic Sites
7961,2550,Chicago,,2/23/1992,History Museums
7961,2550,Chicago,,2/23/1992,Live Music
7961,2550,Chicago,,2/23/1992,Local Boutiques
7961,2550,Chicago,,2/23/1992,Musical Theater
7961,2550,Chicago,,2/23/1992,Plays
7961,2550,Chicago,,2/23/1992,Thrift Stores
7961,2550,Chicago,,2/23/1992,Wine
8058,1700,Boston,,10/24/1967,Architectural Sites
8058,1700,Boston,,10/24/1967,Biking
8058,1700,Boston,,10/24/1967,Comedy Clubs
8058,1700,Boston,,10/24/1967,Craft Beer
8058,1700,Boston,,10/24/1967,Hiking
8058,1700,Boston,,10/24/1967,Historic Sites
8058,1700,Boston,,10/24/1967,History Museums
8058,1700,Boston,,10/24/1967,Hole-In-The-Wall Restaurants
8058,1700,Boston,,10/24/1967,Live Music
8058,1700,Boston,,10/24/1967,Parks + Gardens
8058,1700,Boston,,10/24/1967,Science Museums
8058,1700,Boston,,7/2/1980,Architectural Sites
8058,1700,Boston,,7/2/1980,Biking
8058,1700,Boston,,7/2/1980,Comedy Clubs
8058,1700,Boston,,7/2/1980,Craft Beer
8058,1700,Boston,,7/2/1980,Hiking
8058,1700,Boston,,7/2/1980,Historic Sites
8058,1700,Boston,,7/2/1980,History Museums
8058,1700,Boston,,7/2/1980,Hole-In-The-Wall Restaurants
8058,1700,Boston,,7/2/1980,Live Music
8058,1700,Boston,,7/2/1980,Parks + Gardens
8058,1700,Boston,,7/2/1980,Science Museums
8079,1700,Austin,,3/12/1993,Antiques/Flea Markets
8079,1700,Austin,,3/12/1993,Architectural Sites
8079,1700,Austin,,3/12/1993,Cocktails
8079,1700,Austin,,3/12/1993,Craft Beer
8079,1700,Austin,,3/12/1993,Fine Dining
8079,1700,Austin,,3/12/1993,Hiking
8079,1700,Austin,,3/12/1993,Historic Sites
8079,1700,Austin,,3/12/1993,History Museums
8079,1700,Austin,,3/12/1993,Hole-In-The-Wall Restaurants
8079,1700,Austin,,3/12/1993,Local Boutiques
8079,1700,Austin,,3/12/1993,Parks + Gardens
8079,1700,Austin,,3/12/1993,Science Museums
8079,1700,Austin,,3/12/1993,Spas
8079,1700,Austin,,3/12/1993,Thrift Stores
8079,1700,Austin,,3/12/1993,Wine
8079,1700,Austin,,1/1/1995,Antiques/Flea Markets
8079,1700,Austin,,1/1/1995,Architectural Sites
8079,1700,Austin,,1/1/1995,Cocktails
8079,1700,Austin,,1/1/1995,Craft Beer
8079,1700,Austin,,1/1/1995,Fine Dining
8079,1700,Austin,,1/1/1995,Hiking
8079,1700,Austin,,1/1/1995,Historic Sites
8079,1700,Austin,,1/1/1995,History Museums
8079,1700,Austin,,1/1/1995,Hole-In-The-Wall Restaurants
8079,1700,Austin,,1/1/1995,Local Boutiques
8079,1700,Austin,,1/1/1995,Parks + Gardens
8079,1700,Austin,,1/1/1995,Science Museums
8079,1700,Austin,,1/1/1995,Spas
8079,1700,Austin,,1/1/1995,Thrift Stores
8079,1700,Austin,,1/1/1995,Wine
8109,1500,Savannah,,12/5/1949,Bakeries + Desserts
8109,1500,Savannah,,12/5/1949,Biking
8109,1500,Savannah,,12/5/1949,Cafes + Coffee Shops
8109,1500,Savannah,,12/5/1949,Craft Beer
8109,1500,Savannah,,12/5/1949,Fine Dining
8109,1500,Savannah,,12/5/1949,Hiking
8109,1500,Savannah,,12/5/1949,Historic Sites
8109,1500,Savannah,,12/5/1949,History Museums
8109,1500,Savannah,,12/5/1949,Hole-In-The-Wall Restaurants
8109,1500,Savannah,,12/5/1949,Live Music
8109,1500,Savannah,,12/5/1949,Parks + Gardens
8109,1500,Savannah,,12/5/1949,Wine
8109,1500,Savannah,,1/26/1956,Bakeries + Desserts
8109,1500,Savannah,,1/26/1956,Biking
8109,1500,Savannah,,1/26/1956,Cafes + Coffee Shops
8109,1500,Savannah,,1/26/1956,Craft Beer
8109,1500,Savannah,,1/26/1956,Fine Dining
8109,1500,Savannah,,1/26/1956,Hiking
8109,1500,Savannah,,1/26/1956,Historic Sites
8109,1500,Savannah,,1/26/1956,History Museums
8109,1500,Savannah,,1/26/1956,Hole-In-The-Wall Restaurants
8109,1500,Savannah,,1/26/1956,Live Music
8109,1500,Savannah,,1/26/1956,Parks + Gardens
8109,1500,Savannah,,1/26/1956,Wine
8128,1000,Geneva,,5/19/1958,Art Galleries
8128,1000,Geneva,,5/19/1958,Art Museums
8128,1000,Geneva,,5/19/1958,Craft Beer
8128,1000,Geneva,,5/19/1958,Historic Sites
8128,1000,Geneva,,5/19/1958,History Museums
8128,1000,Geneva,,5/19/1958,Hole-In-The-Wall Restaurants
8128,1000,Geneva,,5/19/1958,Musical Theater
8128,1000,Geneva,,5/19/1958,Parks + Gardens
8128,1000,Geneva,,5/19/1958,Plays
8128,1000,Geneva,,5/19/1958,Wine
8128,1000,Geneva,,8/9/1958,Art Galleries
8128,1000,Geneva,,8/9/1958,Art Museums
8128,1000,Geneva,,8/9/1958,Craft Beer
8128,1000,Geneva,,8/9/1958,Historic Sites
8128,1000,Geneva,,8/9/1958,History Museums
8128,1000,Geneva,,8/9/1958,Hole-In-The-Wall Restaurants
8128,1000,Geneva,,8/9/1958,Musical Theater
8128,1000,Geneva,,8/9/1958,Parks + Gardens
8128,1000,Geneva,,8/9/1958,Plays
8128,1000,Geneva,,8/9/1958,Wine
8131,2000,Park City,,9/11/1967,Biking
8131,2000,Park City,,9/11/1967,Cocktails
8131,2000,Park City,,9/11/1967,Comedy Clubs
8131,2000,Park City,,9/11/1967,Food Markets
8131,2000,Park City,,9/11/1967,Hiking
8131,2000,Park City,,9/11/1967,Hole-In-The-Wall Restaurants
8131,2000,Park City,,9/11/1967,Live Music
8131,2000,Park City,,9/11/1967,Musical Theater
8131,2000,Park City,,9/11/1967,Night Clubs
8131,2000,Park City,,9/11/1967,Plays
8131,2000,Park City,,9/11/1967,Spas
8131,2000,Park City,,9/11/1967,Wine
8131,2000,Park City,,6/26/1972,Biking
8131,2000,Park City,,6/26/1972,Cocktails
8131,2000,Park City,,6/26/1972,Comedy Clubs
8131,2000,Park City,,6/26/1972,Food Markets
8131,2000,Park City,,6/26/1972,Hiking
8131,2000,Park City,,6/26/1972,Hole-In-The-Wall Restaurants
8131,2000,Park City,,6/26/1972,Live Music
8131,2000,Park City,,6/26/1972,Musical Theater
8131,2000,Park City,,6/26/1972,Night Clubs
8131,2000,Park City,,6/26/1972,Plays
8131,2000,Park City,,6/26/1972,Spas
8131,2000,Park City,,6/26/1972,Wine
8135,1500,Chicago,,1/24/1953,Bakeries + Desserts
8135,1500,Chicago,,1/24/1953,Cafes + Coffee Shops
8135,1500,Chicago,,1/24/1953,Historic Sites
8135,1500,Chicago,,1/24/1953,History Museums
8135,1500,Chicago,,1/24/1953,Hole-In-The-Wall Restaurants
8135,1500,Chicago,,1/24/1953,Musical Theater
8135,1500,Chicago,,1/24/1953,Parks + Gardens
8135,1500,Chicago,,1/24/1953,Plays
8135,1500,Chicago,,4/13/1953,Bakeries + Desserts
8135,1500,Chicago,,4/13/1953,Cafes + Coffee Shops
8135,1500,Chicago,,4/13/1953,Historic Sites
8135,1500,Chicago,,4/13/1953,History Museums
8135,1500,Chicago,,4/13/1953,Hole-In-The-Wall Restaurants
8135,1500,Chicago,,4/13/1953,Musical Theater
8135,1500,Chicago,,4/13/1953,Parks + Gardens
8135,1500,Chicago,,4/13/1953,Plays
8151,2000,Denver,,5/4/1978,Architectural Sites
8151,2000,Denver,,5/4/1978,Art Museums
8151,2000,Denver,,5/4/1978,Bakeries + Desserts
8151,2000,Denver,,5/4/1978,Biking
8151,2000,Denver,,5/4/1978,Bookstores
8151,2000,Denver,,5/4/1978,Cafes + Coffee Shops
8151,2000,Denver,,5/4/1978,Comedy Clubs
8151,2000,Denver,,5/4/1978,Fine Dining
8151,2000,Denver,,5/4/1978,Food Markets
8151,2000,Denver,,5/4/1978,Hiking
8151,2000,Denver,,5/4/1978,Historic Sites
8151,2000,Denver,,5/4/1978,History Museums
8151,2000,Denver,,5/4/1978,Hole-In-The-Wall Restaurants
8151,2000,Denver,,5/4/1978,Musical Theater
8151,2000,Denver,,5/4/1978,Parks + Gardens
8151,2000,Denver,,5/4/1978,Plays
8151,2000,Denver,,5/4/1978,Public + Street Art
8151,2000,Denver,,7/14/1979,Architectural Sites
8151,2000,Denver,,7/14/1979,Art Museums
8151,2000,Denver,,7/14/1979,Bakeries + Desserts
8151,2000,Denver,,7/14/1979,Biking
8151,2000,Denver,,7/14/1979,Bookstores
8151,2000,Denver,,7/14/1979,Cafes + Coffee Shops
8151,2000,Denver,,7/14/1979,Comedy Clubs
8151,2000,Denver,,7/14/1979,Fine Dining
8151,2000,Denver,,7/14/1979,Food Markets
8151,2000,Denver,,7/14/1979,Hiking
8151,2000,Denver,,7/14/1979,Historic Sites
8151,2000,Denver,,7/14/1979,History Museums
8151,2000,Denver,,7/14/1979,Hole-In-The-Wall Restaurants
8151,2000,Denver,,7/14/1979,Musical Theater
8151,2000,Denver,,7/14/1979,Parks + Gardens
8151,2000,Denver,,7/14/1979,Plays
8151,2000,Denver,,7/14/1979,Public + Street Art
8196,1200,Philadelphia,,3/9/1980,Antiques/Flea Markets
8196,1200,Philadelphia,,3/9/1980,Art Galleries
8196,1200,Philadelphia,,3/9/1980,Art Museums
8196,1200,Philadelphia,,3/9/1980,Bakeries + Desserts
8196,1200,Philadelphia,,3/9/1980,Bookstores
8196,1200,Philadelphia,,3/9/1980,Cafes + Coffee Shops
8196,1200,Philadelphia,,3/9/1980,Comedy Clubs
8196,1200,Philadelphia,,3/9/1980,Fine Dining
8196,1200,Philadelphia,,3/9/1980,Food Markets
8196,1200,Philadelphia,,3/9/1980,Hole-In-The-Wall Restaurants
8196,1200,Philadelphia,,3/9/1980,Live Music
8196,1200,Philadelphia,,3/9/1980,Local Boutiques
8196,1200,Philadelphia,,3/9/1980,Musical Theater
8196,1200,Philadelphia,,3/9/1980,Night Clubs
8196,1200,Philadelphia,,3/9/1980,Plays
8196,1200,Philadelphia,,3/9/1980,Spas
8196,1200,Philadelphia,,3/9/1980,Thrift Stores
8196,1200,Philadelphia,,3/9/1980,Wine
8204,4250,Chicago,,3/16/1982,Antiques/Flea Markets
8204,4250,Chicago,,3/16/1982,Art Galleries
8204,4250,Chicago,,3/16/1982,Art Museums
8204,4250,Chicago,,3/16/1982,Bakeries + Desserts
8204,4250,Chicago,,3/16/1982,Biking
8204,4250,Chicago,,3/16/1982,Bookstores
8204,4250,Chicago,,3/16/1982,Cafes + Coffee Shops
8204,4250,Chicago,,3/16/1982,Cocktails
8204,4250,Chicago,,3/16/1982,Food Markets
8204,4250,Chicago,,3/16/1982,Hiking
8204,4250,Chicago,,3/16/1982,Historic Sites
8204,4250,Chicago,,3/16/1982,History Museums
8204,4250,Chicago,,3/16/1982,Hole-In-The-Wall Restaurants
8204,4250,Chicago,,3/16/1982,Local Boutiques
8204,4250,Chicago,,3/16/1982,Musical Theater
8204,4250,Chicago,,3/16/1982,Parks + Gardens
8204,4250,Chicago,,3/16/1982,Plays
8204,4250,Chicago,,3/16/1982,Public + Street Art
8204,4250,Chicago,,3/16/1982,Spas
8204,4250,Chicago,,3/16/1982,Thrift Stores
8204,4250,Chicago,,3/16/1982,Wine
8204,4250,Chicago,,8/3/1983,Antiques/Flea Markets
8204,4250,Chicago,,8/3/1983,Art Galleries
8204,4250,Chicago,,8/3/1983,Art Museums
8204,4250,Chicago,,8/3/1983,Bakeries + Desserts
8204,4250,Chicago,,8/3/1983,Biking
8204,4250,Chicago,,8/3/1983,Bookstores
8204,4250,Chicago,,8/3/1983,Cafes + Coffee Shops
8204,4250,Chicago,,8/3/1983,Cocktails
8204,4250,Chicago,,8/3/1983,Food Markets
8204,4250,Chicago,,8/3/1983,Hiking
8204,4250,Chicago,,8/3/1983,Historic Sites
8204,4250,Chicago,,8/3/1983,History Museums
8204,4250,Chicago,,8/3/1983,Hole-In-The-Wall Restaurants
8204,4250,Chicago,,8/3/1983,Local Boutiques
8204,4250,Chicago,,8/3/1983,Musical Theater
8204,4250,Chicago,,8/3/1983,Parks + Gardens
8204,4250,Chicago,,8/3/1983,Plays
8204,4250,Chicago,,8/3/1983,Public + Street Art
8204,4250,Chicago,,8/3/1983,Spas
8204,4250,Chicago,,8/3/1983,Thrift Stores
8204,4250,Chicago,,8/3/1983,Wine
8204,4250,Chicago,,1/13/1984,Antiques/Flea Markets
8204,4250,Chicago,,1/13/1984,Art Galleries
8204,4250,Chicago,,1/13/1984,Art Museums
8204,4250,Chicago,,1/13/1984,Bakeries + Desserts
8204,4250,Chicago,,1/13/1984,Biking
8204,4250,Chicago,,1/13/1984,Bookstores
8204,4250,Chicago,,1/13/1984,Cafes + Coffee Shops
8204,4250,Chicago,,1/13/1984,Cocktails
8204,4250,Chicago,,1/13/1984,Food Markets
8204,4250,Chicago,,1/13/1984,Hiking
8204,4250,Chicago,,1/13/1984,Historic Sites
8204,4250,Chicago,,1/13/1984,History Museums
8204,4250,Chicago,,1/13/1984,Hole-In-The-Wall Restaurants
8204,4250,Chicago,,1/13/1984,Local Boutiques
8204,4250,Chicago,,1/13/1984,Musical Theater
8204,4250,Chicago,,1/13/1984,Parks + Gardens
8204,4250,Chicago,,1/13/1984,Plays
8204,4250,Chicago,,1/13/1984,Public + Street Art
8204,4250,Chicago,,1/13/1984,Spas
8204,4250,Chicago,,1/13/1984,Thrift Stores
8204,4250,Chicago,,1/13/1984,Wine
8204,4250,Chicago,,6/27/1986,Antiques/Flea Markets
8204,4250,Chicago,,6/27/1986,Art Galleries
8204,4250,Chicago,,6/27/1986,Art Museums
8204,4250,Chicago,,6/27/1986,Bakeries + Desserts
8204,4250,Chicago,,6/27/1986,Biking
8204,4250,Chicago,,6/27/1986,Bookstores
8204,4250,Chicago,,6/27/1986,Cafes + Coffee Shops
8204,4250,Chicago,,6/27/1986,Cocktails
8204,4250,Chicago,,6/27/1986,Food Markets
8204,4250,Chicago,,6/27/1986,Hiking
8204,4250,Chicago,,6/27/1986,Historic Sites
8204,4250,Chicago,,6/27/1986,History Museums
8204,4250,Chicago,,6/27/1986,Hole-In-The-Wall Restaurants
8204,4250,Chicago,,6/27/1986,Local Boutiques
8204,4250,Chicago,,6/27/1986,Musical Theater
8204,4250,Chicago,,6/27/1986,Parks + Gardens
8204,4250,Chicago,,6/27/1986,Plays
