Budget,Cities Name,Name,Date Of Birth,Description
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Plays
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Thrift Stores
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Wine
1000,New York,John F. Kennedy International Airport,1/29/1993,Art Galleries
1000,New York,John F. Kennedy International Airport,1/29/1993,Art Museums
1000,New York,John F. Kennedy International Airport,1/29/1993,Bakeries + Desserts
1000,New York,John F. Kennedy International Airport,1/29/1993,Bookstores
1000,New York,John F. Kennedy International Airport,1/29/1993,Cafes + Coffee Shops
1000,New York,John F. Kennedy International Airport,1/29/1993,Cocktails
1000,New York,John F. Kennedy International Airport,1/29/1993,Comedy Clubs
1000,New York,John F. Kennedy International Airport,1/29/1993,Food Markets
1000,New York,John F. Kennedy International Airport,1/29/1993,Historic Sites
1000,New York,John F. Kennedy International Airport,1/29/1993,History Museums
1000,New York,John F. Kennedy International Airport,1/29/1993,Musical Theater
1000,New York,John F. Kennedy International Airport,1/29/1993,Parks + Gardens
1000,New York,John F. Kennedy International Airport,1/29/1993,Plays
1000,New York,John F. Kennedy International Airport,1/29/1993,Spas
1000,New York,John F. Kennedy International Airport,1/29/1993,Wine
1000,New York,LaGuardia Airport,1/29/1993,Art Galleries
1000,New York,LaGuardia Airport,1/29/1993,Art Museums
1000,New York,LaGuardia Airport,1/29/1993,Bakeries + Desserts
1000,New York,LaGuardia Airport,1/29/1993,Bookstores
1000,New York,LaGuardia Airport,1/29/1993,Cafes + Coffee Shops
1000,New York,LaGuardia Airport,1/29/1993,Cocktails
1000,New York,LaGuardia Airport,1/29/1993,Comedy Clubs
1000,New York,LaGuardia Airport,1/29/1993,Food Markets
1000,New York,LaGuardia Airport,1/29/1993,Historic Sites
1000,New York,LaGuardia Airport,1/29/1993,History Museums
1000,New York,LaGuardia Airport,1/29/1993,Musical Theater
1000,New York,LaGuardia Airport,1/29/1993,Parks + Gardens
1000,New York,LaGuardia Airport,1/29/1993,Plays
1000,New York,LaGuardia Airport,1/29/1993,Spas
1000,New York,LaGuardia Airport,1/29/1993,Wine
1000,Portland,Portland International Airport,11/18/1991,Bakeries + Desserts
1000,Portland,Portland International Airport,11/18/1991,Bookstores
1000,Portland,Portland International Airport,11/18/1991,Cafes + Coffee Shops
1000,Portland,Portland International Airport,11/18/1991,Comedy Clubs
1000,Portland,Portland International Airport,11/18/1991,Food Markets
1000,Portland,Portland International Airport,11/18/1991,Historic Sites
1000,Portland,Portland International Airport,11/18/1991,History Museums
1000,Portland,Portland International Airport,11/18/1991,Hole-In-The-Wall Restaurants
1000,Portland,Portland International Airport,11/18/1991,Musical Theater
1000,Portland,Portland International Airport,11/18/1991,Parks + Gardens
1000,Portland,Portland International Airport,11/18/1991,Spas
1000,Salt Lake City,Salt Lake City International Airport,10/3/1993,Antiques/Flea Markets
1000,Salt Lake City,Salt Lake City International Airport,10/3/1993,Art Museums
1000,Salt Lake City,Salt Lake City International Airport,10/3/1993,Bakeries + Desserts
1000,Salt Lake City,Salt Lake City International Airport,10/3/1993,Cafes + Coffee Shops
1000,Salt Lake City,Salt Lake City International Airport,10/3/1993,Fine Dining
1000,Salt Lake City,Salt Lake City International Airport,10/3/1993,Historic Sites
1000,Salt Lake City,Salt Lake City International Airport,10/3/1993,History Museums
1000,Salt Lake City,Salt Lake City International Airport,10/3/1993,Live Music
1000,Salt Lake City,Salt Lake City International Airport,10/3/1993,Local Boutiques
1000,Salt Lake City,Salt Lake City International Airport,10/3/1993,Restaurants for Foodies
1000,Salt Lake City,Salt Lake City International Airport,10/3/1993,Science Museums
1000,San Francisco,San Francisco International Airport,1/24/1972,Bakeries + Desserts
1000,San Francisco,San Francisco International Airport,1/24/1972,Bookstores
1000,San Francisco,San Francisco International Airport,1/24/1972,Cafes + Coffee Shops
1000,San Francisco,San Francisco International Airport,1/24/1972,Craft Beer
1000,San Francisco,San Francisco International Airport,1/24/1972,Hole-In-The-Wall Restaurants
1000,San Francisco,San Francisco International Airport,1/24/1972,Parks + Gardens
1000,Washington,Ronald Reagan Washington National Airport,10/11/1981,Biking
1000,Washington,Ronald Reagan Washington National Airport,10/11/1981,Fine Dining
1000,Washington,Ronald Reagan Washington National Airport,10/11/1981,Food Markets
1000,Washington,Ronald Reagan Washington National Airport,10/11/1981,Hiking
1000,Washington,Ronald Reagan Washington National Airport,10/11/1981,Historic Sites
1000,Washington,Ronald Reagan Washington National Airport,10/11/1981,History Museums
1000,Washington,Ronald Reagan Washington National Airport,10/11/1981,Parks + Gardens
1000,Washington,Ronald Reagan Washington National Airport,10/11/1981,Spas
1000,Washington,Ronald Reagan Washington National Airport,10/11/1981,"Spectator Sports (MLB, NHL, etc.)"
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Antiques/Flea Markets
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Art Galleries
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Art Museums
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Cocktails
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Food Markets
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Historic Sites
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,History Museums
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Hole-In-The-Wall Restaurants
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Live Music
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Local Boutiques
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Parks + Gardens
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Plays
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Spas
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Thrift Stores
1000,Washington,Ronald Reagan Washington National Airport,10/28/1991,Wine
1000,Washington,Washington Dulles International Airport,10/11/1981,Biking
1000,Washington,Washington Dulles International Airport,10/11/1981,Fine Dining
1000,Washington,Washington Dulles International Airport,10/11/1981,Food Markets
1000,Washington,Washington Dulles International Airport,10/11/1981,Hiking
1000,Washington,Washington Dulles International Airport,10/11/1981,Historic Sites
1000,Washington,Washington Dulles International Airport,10/11/1981,History Museums
1000,Washington,Washington Dulles International Airport,10/11/1981,Parks + Gardens
1000,Washington,Washington Dulles International Airport,10/11/1981,Spas
1000,Washington,Washington Dulles International Airport,10/11/1981,"Spectator Sports (MLB, NHL, etc.)"
1000,Washington,Washington Dulles International Airport,10/28/1991,Antiques/Flea Markets
1000,Washington,Washington Dulles International Airport,10/28/1991,Art Galleries
1000,Washington,Washington Dulles International Airport,10/28/1991,Art Museums
1000,Washington,Washington Dulles International Airport,10/28/1991,Cocktails
1000,Washington,Washington Dulles International Airport,10/28/1991,Food Markets
1000,Washington,Washington Dulles International Airport,10/28/1991,Historic Sites
1000,Washington,Washington Dulles International Airport,10/28/1991,History Museums
1000,Washington,Washington Dulles International Airport,10/28/1991,Hole-In-The-Wall Restaurants
1000,Washington,Washington Dulles International Airport,10/28/1991,Live Music
1000,Washington,Washington Dulles International Airport,10/28/1991,Local Boutiques
1000,Washington,Washington Dulles International Airport,10/28/1991,Parks + Gardens
1000,Washington,Washington Dulles International Airport,10/28/1991,Plays
1000,Washington,Washington Dulles International Airport,10/28/1991,Spas
1000,Washington,Washington Dulles International Airport,10/28/1991,Thrift Stores
1000,Washington,Washington Dulles International Airport,10/28/1991,Wine
1100,Chicago,Chicago Midway International Airport,2/18/1991,Bakeries + Desserts
1100,Chicago,Chicago Midway International Airport,2/18/1991,Bookstores
1100,Chicago,Chicago Midway International Airport,2/18/1991,Cafes + Coffee Shops
1100,Chicago,Chicago Midway International Airport,2/18/1991,Comedy Clubs
1100,Chicago,Chicago Midway International Airport,2/18/1991,Food Markets
1100,Chicago,Chicago Midway International Airport,2/18/1991,Historic Sites
1100,Chicago,Chicago Midway International Airport,2/18/1991,History Museums
1100,Chicago,Chicago Midway International Airport,2/18/1991,Hole-In-The-Wall Restaurants
1100,Chicago,Chicago Midway International Airport,2/18/1991,Local Boutiques
1100,Chicago,Chicago Midway International Airport,2/18/1991,Musical Theater
1100,Chicago,Chicago Midway International Airport,2/18/1991,Parks + Gardens
1100,Chicago,Chicago Midway International Airport,2/18/1991,Public + Street Art
1100,Chicago,Chicago Midway International Airport,2/18/1991,Thrift Stores
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,Bakeries + Desserts
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,Bookstores
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,Cafes + Coffee Shops
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,Comedy Clubs
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,Food Markets
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,Historic Sites
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,History Museums
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,Hole-In-The-Wall Restaurants
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,Local Boutiques
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,Musical Theater
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,Parks + Gardens
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,Public + Street Art
1100,Chicago,Chicago O'Hare International Airport,2/18/1991,Thrift Stores
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Antiques/Flea Markets
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Art Museums
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Biking
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Bookstores
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Cafes + Coffee Shops
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Craft Beer
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Fine Dining
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Hiking
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Historic Sites
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,History Museums
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Hole-In-The-Wall Restaurants
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Local Boutiques
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Musical Theater
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Plays
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Thrift Stores
1100,Cleveland,Cleveland-Hopkins International Airport,2/22/1980,Wine
1100,St. Louis,St. Louis Lambert International Airport,8/3/1972,Antiques/Flea Markets
1100,St. Louis,St. Louis Lambert International Airport,8/3/1972,Comedy Clubs
1100,St. Louis,St. Louis Lambert International Airport,8/3/1972,Hole-In-The-Wall Restaurants
1100,St. Louis,St. Louis Lambert International Airport,8/3/1972,Musical Theater
1100,St. Louis,St. Louis Lambert International Airport,8/3/1972,Spas
1100,St. Louis,St. Louis Lambert International Airport,8/3/1972,Thrift Stores
1137,Richmond,Richmond International Airport,7/18/1988,Antiques/Flea Markets
1137,Richmond,Richmond International Airport,7/18/1988,Bakeries + Desserts
1137,Richmond,Richmond International Airport,7/18/1988,Cafes + Coffee Shops
1137,Richmond,Richmond International Airport,7/18/1988,Cocktails
1137,Richmond,Richmond International Airport,7/18/1988,Craft Beer
1137,Richmond,Richmond International Airport,7/18/1988,Hiking
1137,Richmond,Richmond International Airport,7/18/1988,Historic Sites
1137,Richmond,Richmond International Airport,7/18/1988,History Museums
1137,Richmond,Richmond International Airport,7/18/1988,Hole-In-The-Wall Restaurants
1137,Richmond,Richmond International Airport,7/18/1988,Live Music
1137,Richmond,Richmond International Airport,7/18/1988,Parks + Gardens
1137,Richmond,Richmond International Airport,7/18/1988,Thrift Stores
1137,Richmond,Richmond International Airport,7/18/1988,Wine
1137,Richmond,Richmond International Airport,8/24/1992,Antiques/Flea Markets
1137,Richmond,Richmond International Airport,8/24/1992,Bakeries + Desserts
1137,Richmond,Richmond International Airport,8/24/1992,Cafes + Coffee Shops
1137,Richmond,Richmond International Airport,8/24/1992,Cocktails
1137,Richmond,Richmond International Airport,8/24/1992,Craft Beer
1137,Richmond,Richmond International Airport,8/24/1992,Hiking
1137,Richmond,Richmond International Airport,8/24/1992,Historic Sites
1137,Richmond,Richmond International Airport,8/24/1992,History Museums
1137,Richmond,Richmond International Airport,8/24/1992,Hole-In-The-Wall Restaurants
1137,Richmond,Richmond International Airport,8/24/1992,Live Music
1137,Richmond,Richmond International Airport,8/24/1992,Parks + Gardens
1137,Richmond,Richmond International Airport,8/24/1992,Thrift Stores
1137,Richmond,Richmond International Airport,8/24/1992,Wine
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,Antiques/Flea Markets
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,Bakeries + Desserts
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,Cafes + Coffee Shops
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,Cocktails
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,Craft Beer
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,Hiking
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,Historic Sites
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,History Museums
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,Hole-In-The-Wall Restaurants
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,Live Music
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,Parks + Gardens
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,Thrift Stores
1137,Washington,Ronald Reagan Washington National Airport,7/18/1988,Wine
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,Antiques/Flea Markets
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,Bakeries + Desserts
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,Cafes + Coffee Shops
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,Cocktails
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,Craft Beer
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,Hiking
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,Historic Sites
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,History Museums
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,Hole-In-The-Wall Restaurants
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,Live Music
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,Parks + Gardens
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,Thrift Stores
1137,Washington,Ronald Reagan Washington National Airport,8/24/1992,Wine
1137,Washington,Washington Dulles International Airport,7/18/1988,Antiques/Flea Markets
1137,Washington,Washington Dulles International Airport,7/18/1988,Bakeries + Desserts
1137,Washington,Washington Dulles International Airport,7/18/1988,Cafes + Coffee Shops
1137,Washington,Washington Dulles International Airport,7/18/1988,Cocktails
1137,Washington,Washington Dulles International Airport,7/18/1988,Craft Beer
1137,Washington,Washington Dulles International Airport,7/18/1988,Hiking
1137,Washington,Washington Dulles International Airport,7/18/1988,Historic Sites
1137,Washington,Washington Dulles International Airport,7/18/1988,History Museums
1137,Washington,Washington Dulles International Airport,7/18/1988,Hole-In-The-Wall Restaurants
1137,Washington,Washington Dulles International Airport,7/18/1988,Live Music
1137,Washington,Washington Dulles International Airport,7/18/1988,Parks + Gardens
1137,Washington,Washington Dulles International Airport,7/18/1988,Thrift Stores
1137,Washington,Washington Dulles International Airport,7/18/1988,Wine
1137,Washington,Washington Dulles International Airport,8/24/1992,Antiques/Flea Markets
1137,Washington,Washington Dulles International Airport,8/24/1992,Bakeries + Desserts
1137,Washington,Washington Dulles International Airport,8/24/1992,Cafes + Coffee Shops
1137,Washington,Washington Dulles International Airport,8/24/1992,Cocktails
1137,Washington,Washington Dulles International Airport,8/24/1992,Craft Beer
1137,Washington,Washington Dulles International Airport,8/24/1992,Hiking
1137,Washington,Washington Dulles International Airport,8/24/1992,Historic Sites
1137,Washington,Washington Dulles International Airport,8/24/1992,History Museums
1137,Washington,Washington Dulles International Airport,8/24/1992,Hole-In-The-Wall Restaurants
1137,Washington,Washington Dulles International Airport,8/24/1992,Live Music
1137,Washington,Washington Dulles International Airport,8/24/1992,Parks + Gardens
1137,Washington,Washington Dulles International Airport,8/24/1992,Thrift Stores
1137,Washington,Washington Dulles International Airport,8/24/1992,Wine
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Antiques/Flea Markets
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Art Galleries
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Art Museums
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Bakeries + Desserts
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Bookstores
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Cafes + Coffee Shops
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Food Markets
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Live Music
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Local Boutiques
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Musical Theater
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Parks + Gardens
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Plays
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Spas
1200,Charlotte,Charlotte/Douglas International Airport,10/3/1981,Thrift Stores
1200,Chicago,Chicago Midway International Airport,3/7/1980,Art Galleries
1200,Chicago,Chicago Midway International Airport,3/7/1980,Art Museums
1200,Chicago,Chicago Midway International Airport,3/7/1980,Biking
1200,Chicago,Chicago Midway International Airport,3/7/1980,Bookstores
1200,Chicago,Chicago Midway International Airport,3/7/1980,Cocktails
1200,Chicago,Chicago Midway International Airport,3/7/1980,Fine Dining
1200,Chicago,Chicago Midway International Airport,3/7/1980,Food Markets
1200,Chicago,Chicago Midway International Airport,3/7/1980,Hiking
1200,Chicago,Chicago Midway International Airport,3/7/1980,Historic Sites
1200,Chicago,Chicago Midway International Airport,3/7/1980,History Museums
1200,Chicago,Chicago Midway International Airport,3/7/1980,Live Music
1200,Chicago,Chicago Midway International Airport,3/7/1980,Musical Theater
1200,Chicago,Chicago Midway International Airport,3/7/1980,Spas
1200,Chicago,Chicago Midway International Airport,3/7/1980,Wine
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Art Galleries
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Art Museums
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Biking
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Bookstores
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Cocktails
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Fine Dining
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Food Markets
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Hiking
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Historic Sites
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,History Museums
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Live Music
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Musical Theater
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Spas
1200,Chicago,Chicago O'Hare International Airport,3/7/1980,Wine
1200,Las Vegas,McCarran International Airport,12/28/1985,Antiques/Flea Markets
1200,Las Vegas,McCarran International Airport,12/28/1985,Bakeries + Desserts
1200,Las Vegas,McCarran International Airport,12/28/1985,Cafes + Coffee Shops
1200,Las Vegas,McCarran International Airport,12/28/1985,Musical Theater
1200,Las Vegas,McCarran International Airport,12/28/1985,Plays
1200,Las Vegas,McCarran International Airport,12/28/1985,Spas
1200,Las Vegas,McCarran International Airport,12/28/1985,Thrift Stores
1200,Minneapolis,Minneapolis–St. Paul International Airport ,9/19/1994,Antiques/Flea Markets
1200,Minneapolis,Minneapolis–St. Paul International Airport ,9/19/1994,Bakeries + Desserts
1200,Minneapolis,Minneapolis–St. Paul International Airport ,9/19/1994,Bookstores
1200,Minneapolis,Minneapolis–St. Paul International Airport ,9/19/1994,Cafes + Coffee Shops
1200,Minneapolis,Minneapolis–St. Paul International Airport ,9/19/1994,Cocktails
1200,Minneapolis,Minneapolis–St. Paul International Airport ,9/19/1994,Historic Sites
1200,Minneapolis,Minneapolis–St. Paul International Airport ,9/19/1994,History Museums
1200,Minneapolis,Minneapolis–St. Paul International Airport ,9/19/1994,Hole-In-The-Wall Restaurants
1200,Minneapolis,Minneapolis–St. Paul International Airport ,9/19/1994,LGBTQIA+ Owned Businesses
1200,Minneapolis,Minneapolis–St. Paul International Airport ,9/19/1994,Local Boutiques
1200,Minneapolis,Minneapolis–St. Paul International Airport ,9/19/1994,Thrift Stores
1300,Atlanta,Hartsfield–Jackson Atlanta International Airport,9/13/1983,Art Museums
1300,Atlanta,Hartsfield–Jackson Atlanta International Airport,9/13/1983,Cocktails
